var,Short name,=
BAFF-R+ median  :in:  BAFF-R+ IgM+ IgD+ Memory B Cells,MFI BAFF-R in BAFF-R+ IgM+ IgD+ Memory B Cells,
CD11c+ median  :in:  CD11c+ Double Negative T Cells,MFI CD11c in CD11c DN T Cells,
CD11c+ median  :in:  CD11c+ CD16- CD56dim NK Cells,MFI CD11c in CD11c+ CD16- CD56dim NK Cells,
CD11c+ median  :in:  CD11c+ CD16+ NK Cells,MFI CD11c in CD11c+ CD16+ NK Cells,
CD27+ median  :in:  CD27+ CD4+ T Cells,MFI CD27 in CD27+ CD4+ T Cells,
CD27+ median  :in:  CD27+ NK Cells,MFI CD27 in CD27+ NK Cells,
CD38+ median  :in:  CD38+ CD16- CD56bright NK Cells,MFI CD38 in CD38+ CD16- CD56bright NK Cells,
CD38+ median  :in:  CD38+ CD16- CD56dim NK Cells,MFI CD38 in CD38+ CD16- CD56dim NK Cells,
CD38+ median :in: CD38+ CD16- CD56dim NK Cells,MFI CD38 in CD38+ CD16- CD56dim NK Cells,
CD38+ median :in: CD38+ CD16- CD56dim NK Cells,MFI CD38 in CD38+ CD16- CD56dim NK Cells,
CD38+ median  :in:  CD38+ CD27- CD4+ T Cells,MFI CD38 in CD38+ CD27- CD4+ T Cells,
CD38+ median  :in:  CD38+ CD27- CD8+ T Cells,MFI CD38 in CD38+ CD27- CD8+ T Cells,
CD38+ median  :in:  CD38+ CD27+ CD4+ T Cells,MFI CD38 in CD38+ CD27+ CD4+ T Cells,
CD38+ median  :in:  CD38+ CD27+ CD8+ T Cells,MFI CD38 in CD38+ CD27+ CD8+ T Cells,
CD38+ median  :in:  CD38+ CD4+ T Cells,MFI CD38 in CD38+ CD4+ T Cells,
CD38+ median  :in:  CD38+ CD8+ T Cells,MFI CD38 in CD38+ CD8+ T Cells,
CD38+ median  :in:  CD38+ NKT Cells,MFI CD38 in CD38+ NKT Cells,
CD38+ median  :in:  CD38+ Non-Classical Monocytes,MFI CD38 in CD38+ Non-Classical Monocytes,
CD40+ median  :in:  CD40+ CD21- CD11c+ B Cells,MFI CD40 in CD40+ CD11c+ CD21- B Cells,
CD40+ median  :in:  CD40+ CD21- CD27- B Cells,MFI CD40 in CD40+ CD21- CD27- B Cells,
CD40+ median  :in:  CD40+ CD21- CD27+ B Cells,MFI CD40 in CD40+ CD21- CD27+ B Cells,
CD40+ median  :in:  CD40+ CD11c+ CD21- Double Negative B Cells,MFI CD40 in CD40+ DN2 B Cells,
CD40+ median  :in:  CD40+ IgM+ IgD+ Memory B Cells,MFI CD40 in CD40+ IgM+ IgD+ Memory B Cells,
CD40+ median  :in:  CD40+ IgM+ IgD+ Naive B Cells,MFI CD40 in CD40+ IgM+ IgD+ Naive B Cells,
CD40+ median  :in:  CD40+ IgM+ IgDlow Naive B Cells,MFI CD40 in CD40+ IgM+ IgDlow Naive B Cells,
CD40+ median  :in:  CD40+ Intermediate Monocytes,MFI CD40 in CD40+ Intermediate Monocytes,
CD40+ median  :in:  CD40+ Monocytes,MFI CD40 in CD40+ Monocytes,
